YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1940,-3.2,1.9,5.6,9.2,13.4,16.4,17.8,17.5,15.3,9.6,6.1,-2.3,-0.2,9.4,17.2,10.3,9.2
1941,-0.5,2.2,5.8,8,10.1,17.2,20.3,17.2,14.1,8.8,4.5,0.7,-0.2,8,18.2,9.1,8.78
1942,-2.6,-2.2,6.1,9.7,14,17.6,19.7,19.4,17.1,11.6,4,0.9,-1.4,9.9,18.9,10.9,9.59
1943,1.4,3.1,6.7,10.6,14.7,16.7,19.6,20.3,15.9,12,4.4,2.1,1.8,10.7,18.9,10.8,10.53
1944,1.4,-0.6,3.6,11.2,14.3,17,19.3,22.4,14.7,8.7,5.3,1,1,9.7,19.6,9.6,9.95
1945,-3.3,4.1,6.8,11.8,15.5,20.1,21.4,18.3,16.4,10.3,4,2,0.6,11.4,19.9,10.2,10.53
1946,-0.6,5,6.6,11.9,14.4,16.8,20.5,18.6,15.4,9.3,4.8,0.4,2.1,11,18.6,9.8,10.39
1947,-1.5,0.3,6.3,12.3,15.7,19.1,21.1,21.3,17.5,10.6,7.1,2.2,-0.3,11.4,20.5,11.7,10.85
1948,3.7,2.5,9,9.7,14.6,16,16.8,18.3,14.2,10.7,5,1.1,2.8,11.1,17,10,10.23
1949,1.2,1.9,3.6,12,12,17.3,21.2,20.1,18.2,11.4,4.9,3.9,1.4,9.2,19.5,11.5,10.41
1950,0.3,3.9,6.1,8,15.1,19.7,21.4,18.7,14.6,9.4,5.9,-0.7,2.7,9.7,19.9,10,10.58
1951,1.8,2.7,4.6,9.1,12.3,16.4,19.1,18.3,15.5,9.6,6,0.4,1.3,8.7,17.9,10.4,9.56
1952,-0.3,-0.5,6.7,10.8,14.6,19,22.5,19.1,12.3,9.8,3.8,1.7,-0.1,10.7,20.2,8.6,9.85
1953,-1.7,-0.2,5.8,10,15.2,15.6,19.6,18.7,15.9,11.3,3.7,2.7,-0.1,10.3,18,10.3,9.63
1954,-0.9,0.3,6.2,7.5,12.5,17.8,17.4,17.3,15.5,9.9,6.2,3.2,0.7,8.7,17.5,10.5,9.37
1955,1.9,1.7,3.6,9.9,13.2,16.8,19,18.2,14.5,8.9,3.8,4.4,2.3,8.9,18,9.1,9.56
1956,2.8,-7.1,4.9,7.5,14.3,15.5,18.5,16.3,15.6,8.4,3.6,2.2,0,8.9,16.8,9.2,8.73
1957,-0.8,5.2,8.4,9.3,11.3,16.7,18.9,17.4,14.6,9.2,5.8,1.4,2.2,9.7,17.7,9.9,9.85
1958,0.9,4.8,3.1,6.9,15.2,16,19,18.7,16.9,8.9,4.9,3.8,2.4,8.4,17.9,10.2,9.72
1959,1.8,2,7.6,9.8,14.3,17.5,21.2,18.4,16.6,9.8,3.6,3.7,2.5,10.6,19,10,10.53
1960,1,3.5,6.8,9.5,15,18.3,17.4,17.5,13.1,9.4,7,1.9,2.7,10.4,17.7,9.8,10.18
1961,1.1,5.4,7.5,12.1,13,17.8,18.1,17.8,18.1,11,5.1,3.4,2.8,10.9,17.9,11.4,10.74
